Drug	MolId	MolName	Symbol
baishao	MOL001918	paeoniflorgenone	GABRA1
baishao	MOL001919	(3S,5R,8R,9R,10S,14S)-3,17-dihydroxy-4,4,8,10,14-pentamethyl-2,3,5,6,7,9-hexahydro-1H-cyclopenta[a]phenanthrene-15,16-dione	PGR
baishao	MOL001919	(3S,5R,8R,9R,10S,14S)-3,17-dihydroxy-4,4,8,10,14-pentamethyl-2,3,5,6,7,9-hexahydro-1H-cyclopenta[a]phenanthrene-15,16-dione	NR3C2
baishao	MOL001924	paeoniflorin	TNFSF15
baishao	MOL001924	paeoniflorin	IL6
baishao	MOL001924	paeoniflorin	CD14
baishao	MOL001924	paeoniflorin	LBP
baishao	MOL000211	Mairin	PGR
baishao	MOL000358	beta-sitosterol	PGR
baishao	MOL000358	beta-sitosterol	NCOA2
baishao	MOL000358	beta-sitosterol	PTGS1
baishao	MOL000358	beta-sitosterol	PTGS2
baishao	MOL000358	beta-sitosterol	HSP90AA1
baishao	MOL000358	beta-sitosterol	KCNH2
baishao	MOL000358	beta-sitosterol	DRD1
baishao	MOL000358	beta-sitosterol	CHRM3
baishao	MOL000358	beta-sitosterol	CHRM1
baishao	MOL000358	beta-sitosterol	SCN5A
baishao	MOL000358	beta-sitosterol	CHRM4
baishao	MOL000358	beta-sitosterol	ADRA1A
baishao	MOL000358	beta-sitosterol	CHRM2
baishao	MOL000358	beta-sitosterol	ADRA1B
baishao	MOL000358	beta-sitosterol	ADRB2
baishao	MOL000358	beta-sitosterol	CHRNA2
baishao	MOL000358	beta-sitosterol	SLC6A4
baishao	MOL000358	beta-sitosterol	OPRM1
baishao	MOL000358	beta-sitosterol	GABRA1
baishao	MOL000358	beta-sitosterol	BCL2
baishao	MOL000358	beta-sitosterol	BAX
baishao	MOL000358	beta-sitosterol	CASP9
baishao	MOL000358	beta-sitosterol	JUN
baishao	MOL000358	beta-sitosterol	CASP3
baishao	MOL000358	beta-sitosterol	CASP8
baishao	MOL000358	beta-sitosterol	PRKCA
baishao	MOL000358	beta-sitosterol	PON1
baishao	MOL000358	beta-sitosterol	MAP2
baishao	MOL000359	sitosterol	PGR
baishao	MOL000359	sitosterol	NCOA2
baishao	MOL000359	sitosterol	NR3C2
baishao	MOL000422	kaempferol	NOS2
baishao	MOL000422	kaempferol	PTGS1
baishao	MOL000422	kaempferol	AR
baishao	MOL000422	kaempferol	PPARG
baishao	MOL000422	kaempferol	PTGS2
baishao	MOL000422	kaempferol	HSP90AA1
baishao	MOL000422	kaempferol	NCOA2
baishao	MOL000422	kaempferol	DPP4
baishao	MOL000422	kaempferol	PRSS1
baishao	MOL000422	kaempferol	PGR
baishao	MOL000422	kaempferol	HTR
baishao	MOL000422	kaempferol	CHRM1
baishao	MOL000422	kaempferol	ACHE
baishao	MOL000422	kaempferol	SLC6A2
baishao	MOL000422	kaempferol	CHRM2
baishao	MOL000422	kaempferol	ADRA1B
baishao	MOL000422	kaempferol	GABRA1
baishao	MOL000422	kaempferol	F7
baishao	MOL000422	kaempferol	CALM1
baishao	MOL000422	kaempferol	RELA
baishao	MOL000422	kaempferol	IKBKB
baishao	MOL000422	kaempferol	AKT1
baishao	MOL000422	kaempferol	BCL2
baishao	MOL000422	kaempferol	BAX
baishao	MOL000422	kaempferol	TNFSF15
baishao	MOL000422	kaempferol	JUN
baishao	MOL000422	kaempferol	AHSA1
baishao	MOL000422	kaempferol	CASP3
baishao	MOL000422	kaempferol	MAPK8
baishao	MOL000422	kaempferol	MMP1
baishao	MOL000422	kaempferol	STAT1
baishao	MOL000422	kaempferol	CDK1
baishao	MOL000422	kaempferol	PPARG
baishao	MOL000422	kaempferol	HMOX1
baishao	MOL000422	kaempferol	CYP3A4
baishao	MOL000422	kaempferol	CYP1A2
baishao	MOL000422	kaempferol	CYP1A1
baishao	MOL000422	kaempferol	ICAM1
baishao	MOL000422	kaempferol	SELE
baishao	MOL000422	kaempferol	VCAM1
baishao	MOL000422	kaempferol	NR1I2
baishao	MOL000422	kaempferol	CYP1B1
baishao	MOL000422	kaempferol	ALOX5
baishao	MOL000422	kaempferol	HAS2
baishao	MOL000422	kaempferol	GSTP1
baishao	MOL000422	kaempferol	AHR
baishao	MOL000422	kaempferol	PSMD3
baishao	MOL000422	kaempferol	SLC2A4
baishao	MOL000422	kaempferol	NR1I3
baishao	MOL000422	kaempferol	INSRR
baishao	MOL000422	kaempferol	DIO1
baishao	MOL000422	kaempferol	PPP3CA
baishao	MOL000422	kaempferol	GSTM1
baishao	MOL000422	kaempferol	GSTM2
baishao	MOL000422	kaempferol	AKR1C3
baishao	MOL000422	kaempferol	SLPI
baishao	MOL000492	(+)-catechin	PTGS1
baishao	MOL000492	(+)-catechin	ESR1
