Names	total	elements
                                                                                                       2                                                               1	36	MMP2
		GSR
		COL3A1
		CD163
		HMOX1
		SLC6A4
		ALOX5
		MAPK1
		COL1A1
		PLAT
		DPP4
		HSPA5
		BCL2L1
		CA2
		PPARG
		CXCL11
		CDK2
		SELE
		RUNX2
		THBD
		CXCL10
		CYP19A1
		MAPK14
		PLA2G4A
		CAT
		MPO
		CHUK
		SLPI
		IGFBP3
		ALB
		F3
		VEGFA
		MYC
		MMP1
		TP63
		MMP9
                                                                                                       2	415	PLCE1
		ITGAM
		UGCG
		CD34
		GNL3
		PTN
		XDH
		PDPN
		IHH
		FASLG
		CXCR4
		SP7
		COX5A
		ADAM12
		CYBA
		DBP
		WNT1
		GAS5
		DUSP19
		PRKAR2B
		LUM
		PTEN
		C1S
		CYCS
		FCGR2A
		MMP7
		HOTAIR
		SOD2
		SLC22A4
		AQP9
		BGLAP
		FGFR1
		UNC5B
		SERPINH1
		CCR6
		NINL
		AFF2
		LMNB1
		BBC3
		COL11A2
		PNPLA3
		GK
		PTPRD
		IL2RA
		FAP
		PLEK
		NAT10
		PRG4
		NLRP3
		TTR
		DDIT4
		CCR1
		CXCR1
		SERPINF1
		NAMPT
		MYOM2
		PTGER2
		SLC31A1
		MMP8
		CD33
		TGFB3
		BMPR2
		TGM2
		SERPINE2
		FCGR2B
		MAP3K5
		C5AR1
		SMO
		LMNB2
		LOXL2
		PGF
		CTSG
		ELANE
		NUCB2
		DKK3
		KPNA2
		DNMT1
		LRP1
		SOX5
		ANKH
		ADAMTS1
		MEOX1
		MCOLN1
		PTPN11
		CFI
		SMAD3
		GZMA
		MMP14
		PADI4
		SELL
		FBN2
		GHR
		SNHG5
		CEACAM8
		CD38
		IKZF1
		HCCS
		SLC26A8
		MYLK
		PLA2G2A
		CXCR3
		IL1R2
		HRH4
		FOXM1
		FLT3
		GPBAR1
		COL15A1
		TPI1
		EZH2
		TSPO
		PF4
		GRB2
		ORM1
		SYK
		HSPD1
		UBA7
		LGALS3
		CDH1
		IFNG
		FNDC5
		RETN
		CCL8
		TNFSF13B
		THBS3
		TNFSF10
		IL4
		RHOB
		MMP16
		PKLR
		SLC25A27
		XIST
		NUP153
		SLC39A13
		CAGE1
		NTN1
		COL2A1
		PTH2R
		IDH2
		ANKAR
		TF
		CHST11
		GPI
		PDE5A
		CX3CL1
		PRTN3
		CXCR2
		IFITM5
		B4GALT1
		EFEMP2
		COMP
		CXCL9
		MTX1
		THBS1
		ZNF334
		TNFRSF1B
		AEBP1
		LTBP1
		TSC22D3
		PPBP
		VIP
		CALCR
		CPEB1
		TMEM38B
		ETS2
		CS
		SIRT4
		C4orf47
		CDH2
		NCAM1
		PLEC
		DIO2
		SLC25A6
		SPTA1
		FGFR3
		CCT3
		PCMTD1
		IL22RA1
		HSP90B1
		EIF4EBP1
		IL6R
		TP73-AS1
		BAG1
		CHI3L1
		FUT4
		NID2
		FAH
		CLEC3B
		HSPA4
		FRK
		ADH4
		TRH
		TRAF1
		HSH2D
		AP3D1
		IL17RA
		HTRA1
		COL4A3
		NPHS1
		TNFRSF11A
		KIAA0895
		NPR2
		IL1RL1
		CCR3
		ALDH1A2
		PCSK6
		STAT5A
		LOXL3
		GGCT
		DNAH10
		NYX
		TNIP1
		BST1
		GLRX
		SAA1
		XBP1
		CASR
		FN1
		BUB1B
		ABCB1
		CNR1
		CPB2
		RSPO2
		SSTR1
		LOXL1
		PHEX
		GRINA
		ADIPOR1
		PTGES2
		HP
		TAGAP
		TLR4
		SLBP
		CSTA
		LTBP2
		ENO1
		ATF6
		CKS1B
		VIT
		SNAI1
		CYP2C8
		SERPINB2
		OMD
		ADCY3
		SAA4
		TNF
		MAP3K8
		LOX
		KLRK1
		SLC2A10
		ZNF469
		FKBP10
		CEACAM4
		NOG
		KLF2
		SDC4
		HMMR
		COL5A2
		SSPN
		SELP
		TLR8
		CHADL
		NAA50
		FGFR2
		HLA-DMB
		THY1
		ENPP1
		KIT
		ADAMTS4
		CANX
		UCA1
